ID,neg_llh,r2,AIC,BIC,b,beta,test_acc
JOB9AH7F,16.146681162646615,0.524597207343561,36.29336232529323,40.077002921514485,-1.0,2.1748384633177325,0.8979591836734694
DDAA1UO5,16.253148679572433,0.531033260022997,36.50629735914487,40.33034337000116,-1.0,2.197313211661633,0.9
1RYZ8NMP,11.347376135030116,0.6725839344578056,26.69475227006023,30.518798280916524,-1.0,2.7516912149952515,0.94
VRQA95W1,34.29549002262041,0.010441332390172198,72.59098004524083,76.41502605609712,-0.978684177936745,0.24642012890569054,0.56
ZAK14ZU8,31.342472888621188,0.09564739588778859,66.68494577724238,70.50899178809867,0.726865827829476,1.0370392469086174,0.68
6XCEPJGH,0.0017699247610887617,0.9999489307664886,4.003539849522178,7.82758586037847,-1.0,10.0,1.0
4ZFPW2MZ,25.019121186909267,0.2781007587249201,54.038242373818534,57.86228838467483,-1.0,1.3863318510316653,0.8
LFYPVQQ6,27.55299641435215,0.20498857422765526,59.1059928287043,62.930038839560595,-1.0,1.1527071251145098,0.76
IZ5NU20E,34.61634836451594,0.00118331761656143,73.23269672903189,77.05674273988818,-0.9904377702876073,0.08081538739877528,0.52
X2BGHV10,8.396207396717857,0.7577366645295983,20.792414793435714,24.616460804292007,-1.0,3.1782903198601318,0.96
FWZGY0XU,34.65636903842211,2.8565061012120196e-05,73.31273807684423,77.13678408770052,-1.0,1e-05,0.0
SPDQJPRH,16.25314867957229,0.531033260023001,36.50629735914458,40.330343370000875,-1.0,2.197313411957209,0.9
AUBWTOVF,23.568674350504594,0.31995180788400224,51.13734870100919,54.96139471186548,-1.0,1.5163907743724152,0.82
MERXBFBB,13.853225133078967,0.5921228734732372,31.706450266157933,35.49009086237918,-1.0,2.4204786158057288,0.9183673469387755
CXPJ8BXK,23.568674350504587,0.31995180788400246,51.137348701009174,54.961394711865466,-1.0,1.5163907977828432,0.82
ULXYNFYX,33.20220633820536,0.04198683138598047,70.40441267641071,74.22845868726701,-1.0,0.4895585336888766,0.62
4KSYTS11,16.253148679572295,0.531033260023001,36.50629735914459,40.33034337000088,-1.0,2.197313393603345,0.9
XM34JFLJ,34.29549002262032,0.010441332390174862,72.59098004524064,76.41502605609693,-0.9786841783761844,0.2464201154067922,0.56
EH1ASJPH,16.253148679572284,0.5310332600230012,36.50629735914457,40.33034337000086,-1.0,2.197313447746614,0.9
AVJ07QLR,30.18120376373794,0.11138218371420316,64.36240752747588,68.14604812369713,-1.0,0.8183285911495086,0.6938775510204082
Y04YO1G7,28.651845866570994,0.1732824811196617,61.30369173314199,65.12773774399828,-1.0,1.0459933530511254,0.74
KGCT3D1B,34.01360001960768,0.018574958578625123,72.02720003921536,75.85124605007165,-0.9912641738749685,0.3256247107969661,0.58
4IPJA54B,16.253148679572284,0.5310332600230012,36.50629735914457,40.33034337000086,-1.0,2.1973134319824075,0.9
QADPUMOE,26.344398081568894,0.23986135065031677,56.68879616313779,60.51284217399408,-1.0,1.2656989708357596,0.78
31BHBESS,28.651845866571314,0.1732824811196524,61.30369173314263,65.12773774399892,-1.0,1.0459932063419355,0.74
QOGZCC68,4.900955673996232,0.8585883110701802,13.801911347992464,17.625957358848755,-1.0,3.892305743012117,0.98
5EVAFKOI,26.34439808156889,0.23986135065031688,56.68879616313778,60.51284217399407,-1.0,1.2656989796664164,0.78
ZCB66JDA,28.65184586657105,0.17328248111966005,61.3036917331421,65.1277377439984,-1.0,1.0459933195807565,0.74
L4OQKLM7,11.28487351271788,0.6677422233906674,26.56974702543576,30.353387621657014,-1.0,2.7301817459354347,0.9387755102040817
5VBWGKFO,26.344398081568887,0.23986135065031688,56.68879616313777,60.512842173994066,-1.0,1.265699018972556,0.78
LULB5GYR,34.496187932919845,0.004650414792056745,72.99237586583969,76.81642187669598,-0.9792137135551382,0.16374959951765686,0.54
G6R1E33Y,30.542215112744547,0.11873795438158985,65.08443022548909,68.90847623634538,-1.0,0.8473169292325393,0.7
65DQZSPQ,28.65184586657125,0.17328248111965427,61.3036917331425,65.1277377439988,-1.0,1.0459932302532946,0.74
P0FDEP5V,18.345249573635396,0.47066798832491685,40.69049914727079,44.514545158127085,-1.0,1.9925022680868578,0.88
ZKKOEIOD,21.98249398006739,0.36571929897170574,47.96498796013478,51.78903397099107,-1.0,1.6582783397621814,0.84
Q6NRG45L,30.54221511274455,0.11873795438158974,65.0844302254891,68.9084762363454,-1.0,0.8473168614619362,0.7
MGE91R3O,33.2022063382053,0.04198683138598214,70.4044126764106,74.2284586872669,-1.0,0.48955833061657733,0.62
6M792YMW,33.64958336046282,0.029078259157610198,71.29916672092564,75.12321273178193,0.47960033382742623,0.8454405847917049,0.6
2CD0B69O,29.646665882373604,0.1445780430521516,63.29333176474721,67.1173777756035,-1.0,0.9444833850486043,0.72
31ME01V3,13.93746859843416,0.5978496634098678,31.87493719686832,35.69898320772461,-1.0,2.442459535336307,0.92
